"","x"
"1",11
"2",29
"3",36
"4",3.199
"5",45
"6",222.386
"7",121.976
"8",330.653
"9",22
"10",49.03
"11",33
"12",132.156
"13",1776.186
"14",2.908
"15",31
"16",16
"17",61.04
"18",40.31
"19",151.849
"20",1
"21",151.849
"22",90.152
"23",18.325
"24",120.778
"25",634.009
"26",455.996
"27",10
"28",139.212
"29",8
"30",365.371
"31",262.359
"32",211.802
"33",57.538
"34",22
"35",10
"36",30.795
"37",365.371
"38",13
"39",139.212
"40",121.976
"41",42
"42",48
"43",73.381
"44",87.54
"45",51.165
"46",27.651
"47",343.971
"48",14
"49",27.651
"50",1
"51",3
"52",1328.634
"53",74.962
"54",38.048
"55",24.586
"56",103.922
"57",47
"58",135.803
"59",151.849
"60",33
"61",NA
"62",20
"63",122.469
"64",41
"65",24
"66",15
"67",17
"68",330.653
"69",25.682
"70",63.029
"71",1328.634
"72",267.709
"73",11
"74",10
"75",NA
"76",33
"77",53.998
"78",118.714
"79",41
"80",31
"81",299.851
"82",42
"83",92.46
"84",73.381
"85",6
"86",133.681
"87",3
"88",211.802
"89",24
"90",69.76
"91",53.998
"92",177.114
"93",24.586
"94",7
"95",57.538
"96",NA
"97",65.606
"98",5
"99",177.114
"100",24.334
"101",113.209
"102",22
"103",121.042
"104",57.538
"105",14
"106",151.849
"107",2.908
"108",83.493
"109",333.261
"110",121.976
"111",40.247
"112",34
"113",40.852
"114",1776.186
"115",315.135
"116",634.009
"117",25
"118",38
"119",33.363
"120",6
"121",1
"122",43
"123",16
"124",113.209
"125",36.746
"126",23.165
"127",112.764
"128",33
"129",21
"130",315.135
"131",45
"132",1
"133",53.998
"134",135.803
"135",118.714
"136",764.836
"137",92.46
"138",107.113
"139",47
"140",35
"141",10
"142",63.896
"143",330.653
"144",63.896
"145",19
"146",32
"147",9
"148",2.908
"149",710.351
"150",29
"151",31
"152",65.606
"153",24.334
"154",36.665
"155",10
"156",NA
"157",74.962
"158",51.752
"159",269.694
"160",57.538
"161",192.167
"162",1328.634
"163",42
"164",47
"165",20
"166",1776.186
"167",92.46
"168",19
"169",122.469
"170",83.407
"171",1
"172",121.042
"173",24.334
"174",113.209
"175",710.351
"176",133.681
"177",1328.634
"178",270.526
"179",33
"180",121.976
"181",150.689
"182",36
"183",57.538
"184",38.048
"185",132.41
"186",1
"187",121.976
"188",17
"189",46.138
"190",40
"191",19
"192",40.31
"193",135.803
"194",7
"195",NA
"196",14
"197",4
"198",25
"199",2
"200",14
"201",11
"202",9
"203",51.808
"204",40.31
"205",219.741
"206",5
"207",267.709
"208",40.852
"209",20
"210",21
"211",33.363
"212",30.795
"213",489.974
"214",455.996
"215",23
"216",139.212
"217",38.048
"218",40
"219",61.04
"220",33
"221",12
"222",51.165
"223",40.31
"224",36.746
"225",132.156
"226",33
"227",NA
"228",120.778
"229",90.152
"230",18
"231",51.165
"232",219.741
"233",46.138
"234",39
"235",103.922
"236",92.46
"237",179.031
"238",118.714
"239",15
"240",2
"241",13
"242",21
"243",406.955
"244",74.962
"245",222.716
"246",35.401
"247",5
"248",35.401
"249",333.261
"250",38.761
"251",133.681
"252",1
"253",83.407
"254",32
"255",36.746
"256",8
"257",37
"258",26
"259",406.955
"260",44
"261",299.851
"262",93.569
"263",12.79
"264",112.764
"265",12
"266",5
"267",49.03
"268",17
"269",4
"270",28
"271",178.081
"272",34
"273",27
"274",406.955
"275",107.113
"276",17
"277",36
"278",40.31
"279",35.401
"280",222.386
"281",18.325
"282",35.401
"283",10
"284",38
"285",38
"286",40
"287",31
"288",25.682
"289",63.029
"290",NA
"291",46
"292",2.908
"293",86.984
"294",37
"295",222.386
"296",2.908
"297",11
"298",122.469
"299",40.247
"300",489.974
"301",24.586
"302",18.325
"303",36.665
"304",211.802
"305",33.363
"306",14
"307",92.46
"308",46
"309",35.401
"310",83.407
"311",51.808
"312",11
"313",NA
"314",74.962
"315",73.381
"316",35
"317",32
"318",330.653
"319",35.654
"320",49.03
"321",178.081
"322",27
"323",271.475
"324",5
"325",129.753
"326",43
"327",132.41
"328",271.475
"329",299.851
"330",30
"331",46.138
"332",122.469
"333",38.761
"334",23
"335",151.849
"336",39
"337",42
"338",330.653
"339",51.808
"340",764.836
"341",15
"342",40
"343",83.493
"344",406.955
"345",24
"346",73.186
"347",18
"348",634.009
"349",51.808
"350",1328.634
"351",24.334
"352",211.802
"353",33.363
"354",51.752
"355",21
