"","x"
"1",100.545
"2",35.284
"3",30.809
"4",25.066
"5",96.608
"6",81.162
"7",4.978
"8",797.802
"9",41.359
"10",739.584
"11",122.4
"12",797.802
"13",319.625
"14",63.126
"15",24.669
"16",1402.494
"17",25.616
"18",103.14
"19",1402.494
"20",30.809
"21",61.321
"22",126.611
"23",35.29
"24",47.709
"25",7.973
"26",24.46
"27",3.38
"28",53.528
"29",64.941
"30",218.214
"31",64.363
"32",19.646
"33",407.89
"34",33.095
"35",63.126
"36",36.063
"37",3.283
"38",64.363
"39",69.341
"40",7.407
"41",76.976
"42",69.07
"43",85.728
"44",464.867
"45",114.116
"46",70.406
"47",6.912
"48",7.317
"49",47.338
"50",5.681
"51",62.799
"52",37.159
"53",122.4
"54",81.808
"55",33.095
"56",76.976
"57",11.468
"58",67.072
"59",121.815
"60",127.601
"61",66.712
"62",126.611
"63",66.378
"64",47.709
"65",10.521
"66",11.113
"67",69.341
"68",142.864
"69",76.976
"70",85.728
"71",75.768
"72",19.646
"73",464.867
"74",115.424
"75",103.14
"76",53.528
"77",53.528
"78",745.495
"79",61.321
"80",7.062
"81",61.321
"82",90.333
"83",353.606
"84",54.887
"85",6.323
"86",12.706
"87",70.406
"88",3.283
"89",62.799
"90",64.941
"91",29.866
"92",36.447
"93",37.445
"94",21.287
"95",35.284
"96",50.019
"97",315.737
"98",35.29
"99",46.102
"100",36.41
"101",270.361
"102",30.809
"103",135.934
"104",7.317
"105",56.911
"106",24.669
"107",30.809
"108",146.428
"109",54.887
"110",797.802
"111",40.312
"112",54.887
"113",319.625
"114",64.363
"115",75.768
"116",59.743
"117",115.424
"118",444.518
"119",6.323
"120",36.063
"121",37.159
"122",63.126
"123",3.734
"124",102.135
"125",114.116
"126",11.468
"127",221.307
"128",54.887
"129",24.46
"130",151.098
"131",24.669
"132",36.447
"133",151.098
"134",12.706
"135",745.495
"136",83.537
"137",32.155
"138",19.646
"139",25.772
"140",103.14
"141",407.89
"142",35.29
"143",23.209
"144",135.934
"145",85.728
"146",35.29
"147",61.85
"148",42.051
"149",425.167
"150",11.113
"151",7.317
"152",29.026
"153",46.102
"154",54.887
"155",5.709
"156",151.098
"157",739.584
"158",18.619
"159",47.709
"160",64.941
"161",96.608
"162",129.312
"163",55.89
"164",464.867
"165",81.808
"166",298.471
"167",36.155
"168",444.518
"169",10.559
"170",47.709
"171",7.973
"172",36.155
"173",6.622
"174",42.051
"175",110.141
"176",36.447
"177",315.737
"178",444.518
"179",36.41
"180",18.619
"181",353.606
"182",10.521
"183",7.317
"184",75.768
"185",41.359
"186",4.978
"187",95.602
"188",313.105
"189",151.098
"190",5.681
"191",291.071
"192",13.85
"193",103.14
"194",100.545
"195",5.681
"196",13.85
"197",126.611
"198",171.158
"199",70.667
"200",55.89
"201",22.779
"202",59.743
"203",66.712
"204",50.019
"205",36.41
"206",105.088
"207",24.455
"208",464.867
"209",67.072
"210",14.242
"211",122.4
"212",35.29
"213",745.495
"214",61.321
"215",29.866
"216",25.772
"217",135.934
"218",100.545
"219",14.242
"220",298.471
"221",62.799
"222",39.388
"223",353.606
"224",6.622
"225",310.352
"226",29.866
"227",70.667
"228",100.545
"229",47.709
"230",39.388
"231",16.692
"232",36.447
"233",121.815
"234",7.973
"235",61.321
"236",7.317
"237",41.359
"238",739.584
"239",105.088
"240",3.283
"241",152.764
"242",63.126
"243",151.098
"244",35.284
"245",40.312
"246",14.242
"247",63.126
"248",444.518
"249",248.416
"250",7.317
"251",102.135
"252",3.734
"253",103.14
"254",37.445
"255",7.197
"256",54.887
"257",89.077
"258",9.702
"259",32.155
"260",39.388
"261",75.768
"262",66.712
"263",24.669
"264",53.528
"265",40.312
"266",10.559
"267",151.098
"268",40.312
"269",121.815
"270",129.312
"271",249.326
"272",146.428
"273",69.341
"274",75.768
"275",119.02
"276",33.095
"277",12.706
"278",7.973
"279",110.141
"280",95.602
"281",270.361
"282",5.709
"283",23.209
"284",121.866
"285",84.312
"286",5.681
"287",18.887
"288",40.312
"289",128.505
"290",61.321
"291",64.941
"292",29.026
"293",102.135
"294",81.808
"295",42.051
"296",56.911
"297",126.611
"298",23.193
"299",119.02
"300",100.545
"301",69.341
"302",128.505
"303",151.098
"304",23.209
"305",5.709
"306",21.287
"307",129.312
"308",100.545
"309",89.077
"310",7.763
"311",61.086
"312",63.126
"313",291.071
"314",114.116
"315",7.973
"316",76.976
"317",315.737
"318",292.407
"319",32.155
"320",6.912
"321",93.32
"322",248.416
"323",5.681
"324",70.406
"325",797.802
"326",119.02
"327",7.973
"328",444.518
"329",25.357
"330",221.307
"331",114.116
"332",24.455
"333",286.815
"334",128.505
"335",95.602
"336",61.321
"337",95.602
"338",25.357
"339",135.934
"340",6.323
"341",89.077
"342",3.283
"343",100.545
"344",37.159
"345",151.098
"346",23.193
"347",42.051
"348",5.709
"349",7.51
"350",270.361
"351",248.416
"352",69.341
"353",14.242
"354",36.447
"355",85.728
"356",35.29
"357",62.799
"358",14.242
"359",7.763
"360",32.155
"361",42.051
"362",270.361
"363",739.584
"364",14.557
"365",42.051
"366",30.809
"367",36.063
"368",3.38
"369",14.242
"370",7.317
"371",188.148
"372",29.866
"373",291.071
"374",25.772
"375",292.407
"376",66.378
"377",37.159
"378",3.734
"379",122.4
"380",249.326
"381",19.646
"382",35.284
"383",14.242
"384",93.32
"385",248.416
"386",4.978
"387",129.312
"388",407.89
"389",61.85
"390",89.077
"391",127.601
"392",27.418
"393",24.669
"394",61.85
"395",464.867
"396",84.312
"397",24.46
"398",67.072
"399",76.862
"400",27.418
"401",33.095
"402",7.973
"403",81.808
"404",35.29
"405",37.159
"406",181.489
"407",7.407
"408",41.307
"409",129.312
"410",248.416
"411",41.359
"412",1402.494
"413",353.606
"414",70.667
"415",19.646
"416",61.321
"417",6.552
"418",14.242
"419",78.999
"420",30.809
"421",128.505
"422",121.815
"423",24.46
"424",6.328
"425",16.692
"426",25.357
"427",60.598
"428",444.518
"429",63.126
"430",56.757
"431",115.424
"432",84.312
"433",9.702
"434",121.866
"435",18.619
"436",797.802
"437",75.768
"438",16.692
"439",103.463
"440",61.85
"441",151.387
"442",25.357
"443",248.416
"444",102.135
"445",425.167
"446",84.312
"447",76.862
"448",30.809
"449",64.363
"450",200.666
"451",7.197
"452",119.02
"453",3.38
"454",81.808
"455",41.359
"456",6.912
"457",122.4
"458",69.341
"459",39.388
"460",46.102
"461",41.307
"462",100.545
"463",84.312
"464",105.088
"465",7.51
"466",7.197
"467",129.312
"468",61.086
"469",75.768
"470",3.283
"471",313.105
"472",7.062
"473",6.622
"474",121.815
"475",464.867
"476",64.363
"477",3.734
"478",102.135
"479",319.625
"480",313.105
"481",181.489
"482",298.471
"483",61.85
"484",36.41
"485",298.471
"486",7.197
"487",11.113
"488",7.407
"489",70.667
"490",11.113
"491",46.102
"492",35.284
"493",103.463
"494",218.214
"495",61.85
"496",96.608
"497",24.669
"498",56.911
"499",129.312
"500",70.406
"501",353.606
"502",37.159
"503",41.359
"504",42.051
"505",28.51
"506",55.89
"507",3.283
"508",37.445
"509",407.89
"510",248.416
"511",103.463
"512",4.978
"513",25.616
"514",110.141
"515",10.521
"516",36.447
"517",6.552
"518",25.772
"519",53.528
"520",270.361
"521",40.312
"522",6.323
"523",114.116
"524",7.197
"525",126.611
"526",6.912
"527",1402.494
"528",42.051
"529",53.528
"530",28.51
"531",313.105
"532",121.815
"533",142.864
"534",64.941
"535",6.552
"536",298.471
"537",12.706
"538",119.02
"539",3.283
"540",76.976
"541",100.545
"542",127.601
"543",78.999
"544",310.352
"545",22.779
"546",319.625
"547",25.066
"548",55.89
"549",188.148
"550",13.85
"551",75.768
"552",61.086
"553",76.976
"554",70.667
"555",47.338
"556",64.363
"557",315.737
"558",9.702
"559",37.159
"560",249.326
"561",41.359
"562",96.608
"563",7.973
"564",10.521
"565",3.734
"566",7.51
"567",55.89
"568",23.209
"569",128.505
"570",119.02
"571",171.158
"572",13.85
"573",407.89
"574",105.088
"575",5.709
"576",10.521
"577",24.669
"578",72.529
"579",13.85
"580",291.071
"581",18.887
"582",42.051
"583",298.471
"584",37.159
"585",353.606
"586",83.537
"587",121.866
"588",30.809
"589",60.598
"590",100.545
"591",85.728
"592",36.063
"593",114.116
"594",797.802
"595",47.338
"596",739.584
"597",16.692
"598",81.162
"599",121.815
"600",122.4
"601",218.214
"602",11.113
"603",56.911
"604",353.606
"605",53.528
"606",35.284
"607",30.809
"608",81.808
"609",313.105
"610",319.625
"611",25.066
"612",797.802
"613",249.326
"614",81.808
"615",464.867
"616",76.976
"617",61.85
"618",90.333
"619",96.608
"620",70.406
"621",313.105
"622",270.361
"623",11.468
"624",7.317
"625",41.307
"626",78.999
"627",36.41
"628",3.283
"629",14.242
"630",25.616
"631",218.214
"632",32.155
"633",36.063
"634",39.388
"635",29.866
"636",36.063
"637",36.063
"638",24.46
"639",135.934
"640",36.447
"641",4.978
"642",286.815
"643",100.545
"644",30.809
"645",114.116
"646",218.214
"647",25.616
"648",181.489
"649",7.197
"650",61.85
"651",200.666
"652",407.89
"653",36.155
"654",55.89
"655",6.323
"656",6.328
"657",70.406
"658",59.743
"659",16.692
"660",29.026
"661",60.598
"662",55.89
"663",14.557
"664",1402.494
"665",61.85
"666",60.598
"667",121.866
"668",89.077
"669",5.709
"670",96.608
"671",69.341
"672",4.978
"673",745.495
"674",47.338
"675",60.598
"676",171.158
"677",249.326
"678",122.4
"679",739.584
"680",59.743
"681",70.406
"682",135.934
"683",5.681
"684",66.712
"685",9.702
"686",121.866
"687",7.317
"688",128.505
"689",171.158
"690",18.619
"691",407.89
"692",286.815
"693",745.495
"694",27.418
"695",221.307
"696",152.764
"697",270.361
"698",298.471
"699",39.388
"700",181.489
"701",115.424
"702",14.557
"703",25.066
"704",3.734
"705",47.709
"706",444.518
"707",23.193
"708",122.4
"709",18.619
"710",188.148
"711",6.323
"712",30.809
"713",270.361
"714",7.51
"715",23.193
"716",7.197
"717",90.333
"718",142.864
"719",425.167
"720",85.728
"721",36.063
"722",35.29
"723",93.32
"724",62.799
"725",7.51
"726",56.757
"727",128.505
"728",18.619
"729",36.063
"730",36.41
"731",270.361
"732",96.608
"733",135.934
"734",7.51
"735",23.193
"736",6.912
"737",40.312
"738",60.598
"739",81.808
"740",37.159
"741",37.159
"742",313.105
"743",142.864
"744",103.463
"745",21.287
"746",83.537
"747",64.941
"748",25.772
"749",270.361
"750",36.447
"751",36.063
"752",33.095
"753",151.098
"754",4.978
"755",37.445
"756",40.312
"757",6.622
"758",310.352
"759",83.537
"760",54.887
"761",69.341
"762",102.135
"763",63.126
"764",64.363
"765",11.468
"766",41.359
"767",9.702
"768",23.193
"769",115.424
"770",70.406
"771",75.768
"772",7.317
"773",76.862
"774",36.447
"775",151.387
"776",64.363
"777",39.388
"778",85.728
"779",739.584
"780",407.89
"781",103.14
"782",105.088
"783",102.135
"784",36.447
"785",41.359
"786",797.802
"787",425.167
"788",121.866
"789",142.864
"790",6.912
"791",151.098
"792",29.026
"793",181.489
"794",30.809
"795",286.815
"796",103.463
"797",9.702
"798",319.625
"799",315.737
"800",18.887
"801",14.242
"802",200.666
"803",29.866
"804",14.557
"805",25.066
"806",110.141
"807",33.095
"808",25.772
"809",745.495
"810",59.743
"811",35.29
"812",292.407
"813",24.46
"814",797.802
"815",310.352
"816",35.284
"817",188.148
"818",29.866
"819",56.911
"820",29.026
"821",60.598
"822",76.976
"823",95.602
"824",63.126
"825",84.312
"826",29.026
"827",54.887
"828",81.808
"829",23.209
"830",95.602
"831",3.38
"832",55.89
"833",84.312
"834",61.086
"835",30.809
"836",37.445
"837",14.557
"838",248.416
"839",7.407
"840",7.51
"841",270.361
"842",25.066
"843",23.193
"844",464.867
"845",444.518
"846",21.287
"847",61.086
"848",21.287
"849",25.066
"850",56.911
"851",121.866
"852",25.772
"853",54.887
"854",47.709
"855",72.529
"856",47.709
"857",85.728
"858",121.866
"859",425.167
"860",745.495
"861",33.095
"862",128.505
"863",407.89
"864",50.019
"865",7.317
"866",152.764
"867",171.158
"868",353.606
"869",23.193
"870",315.737
"871",319.625
"872",81.162
"873",47.338
"874",10.559
"875",69.07
"876",54.887
"877",115.424
"878",13.85
"879",47.338
"880",21.287
"881",3.283
"882",7.317
"883",353.606
"884",25.772
"885",319.625
"886",24.46
"887",70.406
"888",37.445
"889",66.378
"890",37.445
"891",39.388
"892",64.363
"893",27.418
"894",78.999
"895",319.625
"896",42.051
"897",70.667
"898",61.321
"899",29.866
"900",36.447
"901",47.709
"902",78.999
"903",7.973
"904",14.557
"905",200.666
"906",36.447
"907",407.89
"908",310.352
"909",85.728
"910",59.743
"911",18.887
"912",5.709
"913",3.283
"914",41.307
"915",84.312
"916",61.321
"917",36.063
"918",114.116
"919",292.407
"920",69.07
"921",129.312
"922",60.598
"923",5.681
"924",248.416
"925",126.611
"926",7.51
"927",25.066
"928",35.284
"929",353.606
"930",76.862
"931",319.625
"932",10.559
"933",464.867
"934",298.471
"935",110.141
"936",200.666
"937",14.242
"938",291.071
"939",11.113
"940",23.193
"941",6.328
"942",171.158
"943",739.584
"944",25.066
"945",407.89
"946",7.317
"947",7.763
"948",121.866
"949",21.287
"950",28.51
"951",310.352
"952",121.866
"953",122.4
"954",76.976
"955",76.976
"956",248.416
"957",10.521
"958",319.625
"959",4.978
"960",61.086
"961",25.772
"962",61.85
"963",64.941
"964",25.616
"965",67.072
"966",181.489
"967",28.51
"968",24.455
"969",76.862
"970",25.772
"971",119.02
"972",9.702
"973",81.808
"974",35.284
"975",29.866
"976",121.815
"977",55.89
"978",29.026
"979",151.387
"980",6.912
"981",72.529
"982",115.424
"983",25.357
"984",10.559
"985",315.737
"986",171.158
"987",81.162
"988",96.608
"989",286.815
"990",444.518
"991",171.158
"992",55.89
"993",7.973
"994",3.38
"995",19.646
"996",464.867
"997",24.455
"998",444.518
"999",64.941
"1000",33.095
"1001",81.162
"1002",95.602
"1003",25.772
"1004",30.809
"1005",286.815
"1006",56.911
"1007",66.712
"1008",90.333
"1009",5.681
"1010",319.625
"1011",69.07
"1012",797.802
"1013",121.866
"1014",126.611
"1015",200.666
"1016",16.692
"1017",248.416
"1018",81.808
"1019",739.584
"1020",7.062
"1021",200.666
"1022",114.116
"1023",3.38
"1024",75.768
"1025",36.155
"1026",6.328
"1027",10.559
"1028",35.29
"1029",126.611
"1030",1402.494
"1031",103.14
"1032",63.126
"1033",218.214
"1034",407.89
"1035",96.608
"1036",47.338
"1037",121.815
"1038",25.616
"1039",69.341
"1040",23.193
"1041",114.116
"1042",89.077
"1043",315.737
"1044",47.338
"1045",126.611
"1046",32.155
"1047",93.32
"1048",59.743
"1049",248.416
"1050",35.284
"1051",218.214
"1052",425.167
"1053",89.077
"1054",67.072
"1055",218.214
"1056",135.934
"1057",18.887
"1058",23.193
"1059",84.312
"1060",47.338
"1061",407.89
"1062",745.495
"1063",7.197
"1064",76.976
"1065",41.307
"1066",59.743
"1067",36.063
"1068",105.088
"1069",56.757
"1070",248.416
"1071",59.743
"1072",11.113
"1073",6.552
"1074",59.743
"1075",21.287
"1076",81.162
"1077",36.41
"1078",29.866
"1079",69.341
"1080",7.407
"1081",114.116
"1082",152.764
