"","x"
"1",206.98
"2",482.21
"3",145.995
"4",17.091
"5",89.42
"6",709.15
"7",31.98
"8",31.451
"9",219.79
"10",206.98
"11",95.328
"12",168.81
"13",560.84
"14",41.479
"15",317.55
"16",38.52
"17",92.149
"18",81.413
"19",70.114
"20",28.264
"21",464.08
"22",317.55
"23",31.066
"24",108.16
"25",NA
"26",303.633
"27",1156.62
"28",94.88
"29",709.15
"30",1091.68
"31",104.4
"32",21.478
"33",NA
"34",92.42
"35",80.613
"36",24.12
"37",232.72
"38",1044.321
"39",53.33
"40",28.264
"41",488.48
"42",206.98
"43",709.15
"44",145.799
"45",92.149
"46",108.16
"47",62.83
"48",303.633
"49",173.06
"50",87.074
"51",33.948
"52",57.349
"53",80.197
"54",488.48
"55",47.96
"56",296.147
"57",25.683
"58",177.487
"59",57.349
"60",44.42
"61",75.56
"62",108.16
"63",743.11
"64",155.48
"65",16.066
"66",66.06
"67",95.328
"68",206.63
"69",39.95
"70",182.54
"71",53.061
"72",1044.321
"73",367.468
"74",156.442
"75",145.799
"76",496.013
"77",44.42
"78",632.15
"79",94.747
"80",296.147
"81",31.98
"82",74.07
"83",774.69
"84",367.468
"85",303.633
"86",168.81
"87",105.941
"88",221.581
"89",25.683
"90",518.648
"91",168.81
"92",173.06
"93",1156.62
"94",136.756
"95",564.67
"96",70.114
"97",106.447
"98",79.96
"99",136.756
"100",228.1
"101",85.469
"102",100.99
"103",177.487
"104",109.01
"105",564.67
"106",51.704
"107",39.95
"108",382.136
"109",1044.321
"110",NA
"111",62.83
"112",119.149
"113",108.16
"114",617.67
"115",149.72
"116",1001.973
"117",1044.321
"118",390.946
"119",25.683
"120",26.978
"121",44.42
"122",488.48
"123",1075.72
"124",1091.68
"125",51.704
"126",NA
"127",69.72
"128",104.38
"129",145.83
"130",33.948
"131",564.67
"132",83.49
"133",80.613
"134",136.756
"135",1044.321
"136",89.42
"137",496.013
"138",106.447
"139",564.67
"140",699.37
"141",1044.321
"142",518.648
"143",128.401
"144",92.42
"145",44.42
"146",296.147
"147",296.147
"148",34.747
"149",80.197
"150",206.63
"151",1294.13
"152",564.67
"153",1044.321
"154",155.48
"155",77.603
"156",514.855
"157",149.72
"158",94.88
"159",132.66
"160",89.42
"161",709.15
"162",104.29
"163",104.38
"164",206.63
"165",75.47
"166",70.114
"167",69.72
"168",542.707
"169",166.23
"170",104.4
"171",NA
"172",514.855
"173",25.683
"174",81.87
