"","x"
"1",56.757
"2",188.148
"3",81.162
"4",6.912
"5",102.135
"6",40.312
"7",35.284
"8",78.999
"9",119.02
"10",63.126
"11",21.287
"12",56.911
"13",76.976
"14",50.019
"15",129.312
"16",3.283
"17",30.809
"18",171.158
"19",53.528
"20",200.666
"21",319.625
"22",56.911
"23",25.616
"24",33.095
"25",114.116
"26",298.471
"27",249.326
"28",5.681
"29",16.692
"30",41.307
"31",103.14
"32",1402.494
"33",7.317
"34",69.07
"35",146.428
"36",6.912
"37",4.978
"38",35.29
"39",56.757
"40",152.764
"41",36.41
"42",9.702
"43",25.772
"44",76.976
"45",50.019
"46",739.584
"47",128.505
"48",23.209
"49",19.646
"50",85.728
"51",23.193
"52",24.669
"53",7.062
"54",249.326
"55",151.387
"56",126.611
"57",6.622
"58",55.89
"59",102.135
"60",46.102
"61",62.799
"62",11.113
"63",23.193
"64",7.407
"65",102.135
"66",36.447
"67",7.51
"68",7.763
"69",100.545
"70",64.363
"71",7.973
"72",54.887
"73",36.063
"74",100.545
"75",63.126
"76",56.911
"77",171.158
"78",319.625
"79",72.529
"80",7.197
"81",39.388
"82",56.757
"83",7.407
"84",181.489
"85",16.692
"86",93.32
"87",24.669
"88",3.734
"89",23.209
"90",126.611
"91",444.518
"92",291.071
"93",425.167
"94",310.352
"95",103.14
"96",53.528
"97",126.611
"98",100.545
"99",32.155
"100",27.418
"101",78.999
"102",59.743
"103",444.518
"104",218.214
"105",56.757
"106",171.158
"107",7.973
"108",47.338
"109",142.864
"110",23.209
"111",96.608
"112",152.764
"113",18.887
"114",83.537
"115",24.46
"116",444.518
"117",24.46
"118",7.197
"119",9.702
"120",6.552
"121",6.328
"122",46.102
"123",248.416
"124",64.941
"125",24.669
"126",32.155
"127",7.407
"128",142.864
"129",407.89
"130",121.815
"131",218.214
"132",75.768
"133",739.584
"134",286.815
"135",18.619
"136",4.978
"137",61.086
"138",70.406
"139",12.706
"140",56.757
"141",72.529
"142",33.095
"143",114.116
"144",7.062
"145",53.528
"146",444.518
"147",7.317
"148",310.352
"149",96.608
"150",315.737
"151",121.815
"152",33.095
"153",36.447
"154",39.388
"155",188.148
"156",36.447
"157",152.764
"158",70.667
"159",7.763
"160",10.521
"161",249.326
"162",25.357
"163",6.552
"164",129.312
"165",739.584
"166",67.072
"167",36.447
"168",25.066
"169",36.063
"170",121.815
"171",249.326
"172",25.772
"173",9.702
"174",7.407
"175",4.978
"176",41.359
"177",6.552
"178",54.887
"179",171.158
"180",76.862
"181",425.167
"182",151.387
"183",151.098
"184",59.743
"185",23.193
"186",30.809
"187",69.341
"188",70.667
"189",81.162
"190",221.307
"191",29.866
"192",30.809
"193",53.528
"194",291.071
"195",22.779
"196",13.85
"197",25.616
"198",18.619
"199",146.428
"200",36.155
"201",41.359
"202",60.598
"203",103.463
"204",103.463
"205",9.702
"206",6.622
"207",146.428
"208",7.407
"209",7.062
"210",114.116
"211",221.307
"212",21.287
"213",56.757
"214",249.326
"215",66.378
"216",16.692
"217",25.066
"218",25.616
"219",66.378
"220",30.809
"221",64.941
"222",6.328
"223",42.051
"224",69.07
"225",103.14
"226",21.287
"227",75.768
"228",102.135
"229",103.14
"230",128.505
"231",188.148
"232",425.167
"233",200.666
"234",105.088
"235",30.809
"236",13.85
"237",9.702
"238",315.737
"239",10.559
"240",7.317
"241",16.692
"242",36.447
"243",6.328
"244",122.4
"245",6.552
"246",4.978
"247",313.105
"248",14.242
"249",25.772
"250",69.341
"251",14.242
"252",10.559
"253",7.407
"254",27.418
"255",9.702
"256",102.135
"257",23.193
"258",797.802
"259",35.29
"260",135.934
"261",42.051
"262",6.912
"263",84.312
"264",64.363
"265",56.757
"266",6.622
"267",18.619
"268",407.89
"269",200.666
"270",6.912
"271",115.424
"272",40.312
"273",7.062
"274",50.019
"275",152.764
"276",126.611
"277",315.737
"278",18.619
"279",7.062
"280",152.764
"281",37.159
"282",24.669
"283",407.89
"284",16.692
"285",313.105
"286",291.071
"287",35.29
"288",37.445
"289",24.455
"290",24.669
"291",353.606
"292",115.424
"293",151.387
"294",146.428
"295",7.317
"296",36.155
"297",50.019
"298",70.667
"299",59.743
"300",444.518
"301",249.326
"302",93.32
"303",76.976
"304",66.712
"305",7.51
"306",797.802
"307",61.85
"308",146.428
"309",1402.494
"310",7.51
"311",102.135
"312",745.495
"313",56.757
"314",444.518
"315",69.341
"316",95.602
"317",22.779
"318",151.098
"319",464.867
"320",37.445
"321",55.89
"322",200.666
"323",64.363
"324",3.734
"325",36.063
"326",85.728
"327",46.102
"328",319.625
"329",22.779
"330",5.709
"331",23.193
"332",151.098
"333",11.113
"334",121.866
"335",69.341
"336",444.518
"337",7.973
"338",5.681
"339",9.702
"340",54.887
"341",24.46
"342",40.312
"343",40.312
"344",103.14
"345",298.471
"346",14.557
"347",270.361
"348",3.38
"349",24.455
"350",29.026
"351",61.85
"352",40.312
"353",66.378
"354",129.312
"355",41.359
"356",37.159
"357",7.51
"358",221.307
"359",286.815
"360",11.113
"361",72.529
"362",36.447
"363",75.768
"364",47.709
"365",59.743
"366",129.312
"367",50.019
"368",464.867
"369",10.521
"370",40.312
"371",42.051
"372",42.051
"373",30.809
"374",6.328
"375",122.4
"376",24.455
"377",102.135
"378",353.606
"379",122.4
"380",29.026
"381",7.763
"382",103.14
"383",129.312
"384",110.141
"385",64.363
"386",70.667
"387",152.764
"388",69.07
"389",200.666
"390",103.14
"391",75.768
"392",50.019
"393",121.866
"394",24.455
"395",6.323
"396",18.887
"397",23.193
"398",115.424
"399",19.646
"400",61.85
"401",298.471
"402",64.363
"403",36.063
"404",7.407
"405",29.866
"406",24.455
"407",41.359
"408",22.779
"409",24.46
"410",29.026
"411",89.077
"412",6.622
"413",126.611
"414",200.666
"415",72.529
"416",142.864
"417",76.976
"418",89.077
"419",89.077
"420",105.088
"421",18.619
"422",42.051
"423",249.326
"424",16.692
"425",70.667
"426",83.537
"427",115.424
"428",36.155
"429",40.312
"430",119.02
"431",47.338
"432",14.557
"433",353.606
"434",6.912
"435",127.601
"436",313.105
"437",3.283
"438",69.341
"439",102.135
"440",444.518
"441",22.779
"442",425.167
"443",310.352
"444",6.622
"445",63.126
"446",25.772
"447",11.113
"448",24.46
"449",286.815
"450",105.088
"451",7.062
"452",54.887
"453",67.072
"454",30.809
"455",28.51
"456",72.529
"457",63.126
"458",119.02
"459",310.352
"460",6.622
"461",21.287
"462",407.89
"463",1402.494
"464",3.38
"465",6.552
"466",7.317
"467",115.424
"468",64.363
"469",7.973
"470",72.529
"471",78.999
"472",47.709
"473",121.866
"474",6.912
"475",7.197
"476",96.608
"477",146.428
"478",7.317
"479",13.85
"480",319.625
"481",7.763
"482",50.019
"483",292.407
"484",14.557
"485",25.772
"486",425.167
"487",39.388
"488",6.323
"489",151.098
"490",67.072
"491",444.518
"492",63.126
"493",315.737
"494",13.85
"495",3.283
"496",10.521
"497",25.066
"498",25.772
"499",37.159
"500",6.323
"501",70.667
"502",75.768
"503",55.89
"504",425.167
"505",114.116
"506",40.312
"507",407.89
"508",6.323
"509",28.51
"510",121.866
"511",151.387
"512",110.141
"513",32.155
"514",18.887
"515",152.764
"516",47.338
"517",5.681
"518",24.46
"519",188.148
"520",270.361
"521",121.815
"522",36.063
"523",11.113
"524",7.51
"525",102.135
"526",36.155
"527",248.416
"528",93.32
"529",128.505
"530",90.333
"531",36.447
"532",3.734
"533",55.89
"534",425.167
"535",60.598
"536",32.155
"537",105.088
"538",78.999
"539",59.743
"540",319.625
"541",270.361
"542",24.46
"543",151.387
"544",84.312
"545",33.095
"546",464.867
"547",103.463
"548",64.941
"549",105.088
"550",6.622
"551",6.328
"552",18.887
"553",122.4
"554",745.495
"555",61.85
"556",41.307
"557",25.357
"558",181.489
"559",100.545
"560",21.287
"561",29.026
"562",84.312
"563",181.489
"564",11.113
"565",41.307
"566",37.445
"567",121.866
"568",100.545
"569",42.051
"570",76.976
"571",56.757
"572",121.815
"573",47.338
"574",103.14
"575",75.768
"576",102.135
"577",25.357
"578",81.162
"579",24.455
"580",151.387
"581",1402.494
"582",69.07
"583",37.445
"584",745.495
"585",61.086
"586",78.999
"587",95.602
"588",121.815
"589",64.363
"590",36.155
"591",119.02
"592",6.552
"593",18.619
"594",19.646
"595",142.864
"596",114.116
"597",313.105
"598",292.407
"599",41.359
"600",56.757
"601",19.646
"602",7.51
"603",28.51
"604",6.622
"605",19.646
"606",7.973
"607",61.086
"608",16.692
"609",32.155
"610",464.867
"611",41.307
"612",146.428
"613",313.105
"614",6.622
"615",40.312
"616",39.388
"617",64.363
"618",5.681
"619",126.611
"620",7.763
"621",9.702
"622",100.545
"623",127.601
"624",95.602
"625",81.162
"626",7.407
"627",200.666
"628",81.808
"629",464.867
"630",286.815
"631",142.864
"632",90.333
"633",66.712
"634",249.326
"635",41.359
"636",797.802
"637",7.317
"638",7.973
"639",9.702
"640",6.328
"641",35.284
"642",14.557
"643",64.941
"644",13.85
"645",41.307
"646",56.757
"647",248.416
"648",36.063
"649",286.815
"650",739.584
"651",35.284
"652",6.622
"653",128.505
"654",286.815
"655",42.051
"656",6.622
"657",110.141
"658",40.312
"659",25.357
"660",27.418
"661",36.41
"662",110.141
"663",61.321
"664",39.388
"665",315.737
"666",70.406
"667",53.528
"668",122.4
"669",27.418
"670",25.772
"671",76.976
"672",95.602
"673",119.02
"674",62.799
"675",42.051
"676",66.712
"677",407.89
"678",69.341
"679",64.363
"680",25.616
"681",128.505
"682",221.307
"683",25.616
"684",286.815
"685",47.338
"686",21.287
"687",248.416
"688",89.077
"689",30.809
"690",3.38
"691",152.764
"692",81.162
"693",36.41
"694",37.159
"695",152.764
"696",60.598
"697",10.559
"698",127.601
"699",1402.494
"700",13.85
"701",122.4
"702",78.999
"703",85.728
"704",56.757
"705",47.338
"706",10.559
"707",425.167
"708",315.737
"709",41.359
"710",64.941
"711",270.361
"712",464.867
"713",67.072
"714",353.606
"715",7.407
"716",6.552
"717",61.086
"718",85.728
"719",3.283
"720",90.333
"721",407.89
"722",54.887
"723",129.312
"724",103.14
"725",25.357
"726",41.359
"727",464.867
"728",39.388
"729",6.328
"730",25.357
"731",11.468
"732",55.89
"733",61.086
"734",102.135
"735",444.518
"736",56.757
"737",35.29
"738",66.712
"739",18.887
"740",6.328
"741",60.598
"742",151.098
"743",248.416
"744",75.768
"745",188.148
"746",127.601
"747",46.102
"748",72.529
"749",3.38
"750",24.669
"751",11.113
"752",63.126
"753",11.468
"754",100.545
"755",797.802
"756",29.026
"757",127.601
"758",23.209
"759",128.505
"760",46.102
"761",37.159
"762",19.646
"763",76.862
"764",89.077
"765",319.625
"766",5.709
"767",7.973
"768",75.768
"769",7.51
"770",10.521
"771",62.799
"772",110.141
"773",18.619
"774",221.307
"775",1402.494
"776",67.072
"777",3.734
"778",69.341
"779",129.312
"780",70.667
"781",29.026
"782",11.113
"783",60.598
"784",122.4
"785",151.387
"786",69.341
"787",319.625
"788",76.976
"789",114.116
"790",6.622
"791",7.197
"792",93.32
"793",121.815
"794",81.162
"795",93.32
"796",9.702
"797",122.4
"798",407.89
"799",10.521
"800",25.616
"801",60.598
"802",36.063
"803",84.312
"804",739.584
"805",37.445
"806",121.866
"807",313.105
"808",27.418
"809",310.352
"810",28.51
"811",3.38
"812",81.162
"813",85.728
"814",319.625
"815",270.361
"816",28.51
"817",62.799
"818",36.41
"819",55.89
"820",24.46
"821",6.552
"822",7.973
"823",78.999
"824",72.529
"825",70.667
"826",188.148
"827",3.38
"828",270.361
"829",36.063
"830",10.521
"831",313.105
"832",28.51
"833",61.321
"834",142.864
"835",61.321
"836",313.105
"837",84.312
"838",12.706
"839",353.606
"840",76.976
"841",40.312
"842",36.063
"843",6.552
"844",3.38
"845",3.38
"846",298.471
"847",12.706
"848",29.866
"849",146.428
"850",6.912
"851",6.552
