"","x"
"505",2.908
"506",710.351
"507",10
"508",14
"509",113.209
"510",53.998
"511",32
"512",33
"513",23
"514",37
"515",8
"516",51.808
"517",23
"518",53.998
"519",35.654
"520",112.764
"521",87.54
"522",90.152
"523",135.803
"524",710.351
"525",333.261
"526",46
"527",4
"528",30
"529",40.852
"530",69.76
"531",27
"532",634.009
"533",38.048
"534",49.03
"535",121.042
"536",365.371
"537",406.955
"538",23
"539",41
"540",47
"541",924.53
"542",299.851
"543",135.803
"544",139.212
"545",51.808
"546",69.76
"547",30
"548",51.165
"549",299.851
"550",28
"551",23
"552",4
"553",36.16
"554",73.381
"555",365.371
"556",73.186
"557",74.962
"558",177.114
"559",48
"560",21
"561",8
"562",25
"563",28
"564",23.165
"565",40.247
"566",40
"567",8
"568",24.334
"569",18
"570",40.31
"571",93.569
"572",47
"573",133.681
"574",3.199
"575",267.709
"576",NA
"577",27.651
"578",1328.634
"579",21
"580",211.802
"581",162.685
"582",38.048
"583",219.741
"584",23
"585",1328.634
"586",121.042
"587",28
"588",18
"589",24.498
"590",40.31
"591",73.186
"592",30.795
"593",10
"594",1
"595",45
"596",1
"597",49.03
"598",3.199
"599",118.714
"600",107.113
"601",3
"602",5
"603",87.54
"604",1
"605",35.401
"606",87.54
"607",20
"608",40.852
"609",65.606
"610",118.714
"611",30
"612",93.569
"613",40
"614",133.681
"615",112.764
"616",151.849
"617",133.313
"618",139.212
"619",74.962
"620",764.836
"621",38.761
"622",1363.639
"623",24
"624",1363.639
"625",87.54
"626",6
"627",36
"628",12
"629",30.795
"630",455.996
"631",11
"632",219.741
"633",46.138
"634",222.386
"635",36.665
"636",23.165
"637",46.138
"638",219.741
"639",36.16
"640",222.716
"641",29
"642",12.79
"643",177.114
"644",315.135
"645",315.135
"646",90.152
"647",73.186
"648",1
"649",24.334
"650",151.849
"651",19
"652",92.46
"653",47
"654",42
"655",299.851
"656",384.494
"657",192.167
"658",NA
"659",103.922
"660",455.996
"661",49.03
"662",13
"663",5
"664",41
"665",33.363
"666",1363.639
"667",40
"668",113.209
"669",36.16
"670",192.167
"671",7
"672",92.46
"673",24
"674",150.689
"675",2
"676",4
"677",1
"678",14
"679",7
"680",211.802
"681",113.209
"682",38
"683",103.922
"684",36
"685",135.803
"686",35.654
"687",112.764
"688",86.984
"689",299.851
"690",40.247
"691",51.165
"692",222.386
"693",48
"694",406.955
"695",32
"696",222.716
"697",178.081
"698",36.746
"699",41
"700",211.802
"701",6
"702",14
"703",121.042
"704",30.795
"705",15
"706",69.76
"707",33
"708",178.081
"709",16
"710",489.974
"711",333.261
"712",46.138
"713",120.778
"714",93.569
"715",121.042
"716",12.79
"717",1
"718",132.156
"719",21
"720",38.761
"721",38
"722",13
"723",1
"724",24.586
"725",NA
"726",18
"727",44
"728",27.651
"729",38.761
"730",31
"731",36
"732",2
"733",35
"734",1776.186
"735",3
"736",133.681
"737",39
"738",18
"739",92.46
"740",2.908
"741",87.54
"742",151.849
"743",11
"744",150.689
"745",219.741
"746",38.761
"747",1363.639
"748",11
"749",53.998
"750",21
"751",63.029
"752",36.16
"753",66.555
"754",219.741
"755",35.401
"756",262.359
"757",90.152
"758",90.152
"759",11
"760",65.606
"761",38.048
"762",49.03
"763",2.908
"764",34
"765",7
"766",46
"767",57.538
"768",53.998
"769",61.04
"770",61.04
"771",343.971
"772",51.165
"773",15
"774",37
"775",489.974
"776",92.46
"777",NA
"778",14
"779",12.79
"780",44
"781",710.351
"782",NA
"783",764.836
"784",113.209
"785",132.41
"786",38.761
"787",92.46
"788",23
"789",133.313
"790",133.313
"791",34
"792",267.709
"793",103.922
"794",45
"795",53.998
"796",299.851
"797",51.165
"798",33.363
"799",23
"800",150.689
"801",262.359
"802",45
"803",2
"804",46
"805",107.113
"806",219.741
"807",30.795
"808",38.761
"809",139.212
"810",21
"811",86.984
"812",135.803
"813",26
"814",1776.186
"815",28
"816",103.922
"817",19
"818",1363.639
"819",315.135
"820",33
"821",6
"822",35.654
"823",406.955
"824",2.908
"825",NA
"826",74.962
"827",122.469
"828",48
"829",63.896
"830",25
"831",8
"832",36.665
"833",133.681
"834",211.802
"835",135.803
"836",333.261
"837",43
"838",30.795
"839",12
"840",41
"841",222.716
"842",315.135
"843",34
"844",6
"845",32
"846",51.752
"847",35.401
"848",16
"849",39
"850",83.493
"851",22
"852",16
"853",31
"854",46.138
"855",46
"856",18.325
"857",178.081
"858",3.199
"859",1328.634
"860",47
"861",13
"862",177.114
"863",22
"864",27
"865",29
"866",139.212
"867",87.54
"868",47
"869",269.694
"870",32
"871",83.407
"872",69.76
"873",219.741
"874",24.586
"875",65.606
"876",35.654
"877",40
"878",45
"879",270.526
"880",455.996
"881",271.475
"882",23
"883",333.261
"884",122.469
"885",924.53
"886",222.716
"887",3.199
"888",177.114
"889",269.694
"890",365.371
"891",15
"892",118.714
"893",133.681
"894",107.113
"895",36.16
"896",83.407
"897",14
"898",417.953
"899",51.165
"900",113.209
"901",151.849
"902",22
"903",107.113
"904",139.212
"905",73.186
"906",267.709
"907",61.04
"908",NA
"909",9
"910",267.709
"911",12
"912",132.156
"913",69.76
"914",38.761
"915",49.03
"916",47
"917",65.606
"918",65.606
"919",42
"920",66.555
"921",46.138
"922",112.764
"923",1
"924",38
"925",23.165
"926",48
"927",87.54
"928",315.135
"929",151.849
"930",24
"931",11
"932",NA
"933",179.031
"934",129.753
"935",45
"936",23.165
"937",262.359
"938",6
"939",267.709
"940",41
"941",35
"942",66.555
"943",133.313
"944",66.555
"945",86.984
"946",18
"947",7
"948",24.498
"949",36.665
"950",51.165
"951",455.996
"952",53.998
"953",129.753
"954",1363.639
"955",28
"956",120.778
"957",30.795
"958",315.135
"959",93.569
"960",121.976
"961",5
"962",38.048
"963",262.359
"964",219.741
"965",121.042
"966",417.953
"967",25.682
"968",6
"969",133.313
"970",38.048
"971",24
"972",129.753
"973",178.081
"974",30.795
"975",270.526
"976",23.165
"977",177.114
"978",63.029
"979",10
"980",87.54
"981",150.689
"982",33
"983",15
"984",23
"985",121.042
"986",35.401
"987",8
"988",139.212
"989",48
"990",38.048
"991",63.896
"992",21
"993",365.371
"994",107.113
"995",634.009
"996",455.996
"997",6
"998",1328.634
"999",384.494
"1000",2
"1001",47
"1002",417.953
"1003",19
"1004",12
"1005",333.261
"1006",46
"1007",69.76
"1008",28
"1009",343.971
"1010",365.371
"1011",132.41
"1012",17
"1013",269.694
"1014",120.778
"1015",NA
"1016",NA
"1017",38.761
"1018",40.31
"1019",18
"1020",14
"1021",113.209
"1022",24.586
"1023",21
"1024",51.808
"1025",NA
"1026",1328.634
"1027",36.16
"1028",133.681
"1029",33
"1030",132.156
"1031",1776.186
"1032",30
"1033",45
"1034",455.996
"1035",46.138
"1036",33.363
"1037",14
"1038",24.334
"1039",83.493
"1040",63.896
"1041",42
"1042",25
"1043",66.555
"1044",43
"1045",66.555
"1046",710.351
"1047",315.135
"1048",35.654
"1049",150.689
"1050",51.752
"1051",269.694
"1052",36.16
"1053",36
"1054",34
"1055",132.41
"1056",120.778
"1057",112.764
"1058",1776.186
"1059",31
"1060",764.836
"1061",222.716
"1062",63.896
"1063",31
"1064",1
"1065",33.363
"1066",37
"1067",16
"1068",87.54
"1069",33
"1070",46.138
"1071",1
"1072",12
"1073",23
"1074",10
"1075",132.41
"1076",38.048
"1077",29
"1078",29
"1079",192.167
"1080",49.03
"1081",83.407
"1082",26
"1083",29
"1084",66.555
"1085",13
"1086",47
"1087",25
"1088",92.46
"1089",489.974
"1090",121.976
"1091",18
"1092",18
"1093",121.976
"1094",51.752
"1095",93.569
"1096",86.984
"1097",45
"1098",57.538
"1099",151.849
"1100",23
"1101",7
"1102",222.716
"1103",634.009
"1104",48
"1105",38.761
"1106",51.808
"1107",31
"1108",12
"1109",6
"1110",9
"1111",3
"1112",51.752
"1113",90.152
"1114",86.984
"1115",17
"1116",19
"1117",384.494
"1118",132.156
"1119",73.381
"1120",35.401
"1121",1328.634
"1122",634.009
"1123",36.665
"1124",222.716
"1125",113.209
"1126",49.03
"1127",120.778
"1128",162.685
"1129",12.79
"1130",40
"1131",51.752
"1132",57.538
"1133",NA
"1134",2
"1135",41
"1136",1776.186
"1137",35
"1138",924.53
"1139",51.808
"1140",34
"1141",365.371
"1142",139.212
"1143",73.381
"1144",90.152
"1145",NA
"1146",192.167
"1147",162.685
"1148",135.803
"1149",51.165
"1150",24.334
"1151",118.714
"1152",3.199
"1153",271.475
"1154",179.031
"1155",271.475
"1156",46
"1157",112.764
"1158",2
"1159",3.199
"1160",103.922
"1161",NA
"1162",112.764
"1163",489.974
"1164",11
"1165",24
"1166",73.186
"1167",384.494
"1168",150.689
"1169",710.351
"1170",38.761
"1171",36.665
"1172",32
"1173",177.114
"1174",46
"1175",30.795
"1176",23.165
"1177",51.808
"1178",3.199
"1179",18.325
"1180",270.526
"1181",1328.634
"1182",51.165
"1183",35.401
"1184",36.665
"1185",86.984
"1186",177.114
"1187",49.03
"1188",192.167
"1189",42
"1190",23.165
"1191",41
"1192",330.653
"1193",18
"1194",40.31
"1195",65.606
"1196",37
"1197",222.386
"1198",40.852
"1199",710.351
"1200",28
"1201",406.955
"1202",36.746
"1203",129.753
"1204",24
"1205",365.371
"1206",51.165
"1207",211.802
"1208",343.971
"1209",150.689
"1210",61.04
"1211",18
"1212",330.653
"1213",23.165
"1214",489.974
"1215",15
"1216",28
"1217",40.31
"1218",267.709
"1219",NA
"1220",2
"1221",121.976
"1222",3.199
"1223",25.682
"1224",22
"1225",11
"1226",27.651
"1227",222.386
"1228",122.469
"1229",406.955
"1230",764.836
"1231",417.953
"1232",40
"1233",NA
"1234",455.996
"1235",764.836
"1236",3.199
"1237",118.714
"1238",299.851
"1239",417.953
"1240",NA
"1241",35.654
"1242",74.962
"1243",40
"1244",150.689
"1245",12
"1246",83.407
"1247",8
"1248",267.709
"1249",83.493
"1250",3
"1251",73.186
"1252",4
"1253",271.475
"1254",86.984
"1255",37
"1256",28
"1257",NA
"1258",2.908
"1259",417.953
"1260",43
"1261",16
"1262",12
"1263",29
"1264",18.325
"1265",93.569
"1266",129.753
"1267",34
"1268",46.138
"1269",48
"1270",330.653
"1271",36
"1272",69.76
"1273",5
"1274",21
"1275",32
"1276",365.371
"1277",40.31
"1278",37
"1279",41
