"","x"
"1",NA
"2",83.086
"3",11.18
"4",141.872
"5",546.581
"6",20.888
"7",33.118
"8",21.478
"9",20.908
"10",305.864
"11",819.388
"12",42.518
"13",23.039
"14",286.219
"15",73.9
"16",48.036
"17",343.384
"18",74.836
"19",27.222
"20",16.547
"21",74.074
"22",22.031
"23",183.402
"24",25.104
"25",183.402
"26",35.748
"27",91.907
"28",47.484
"29",24.614
"30",88.11
"31",56.788
"32",201.024
"33",219.778
"34",63.823
"35",21.478
"36",3096.365
"37",NA
"38",73.9
"39",420.191
"40",73.9
"41",136.578
"42",3096.365
"43",28.291
"44",62.136
"45",51.028
"46",70.92
"47",25.104
"48",38.581
"49",242.356
"50",20.908
"51",44.567
"52",606.864
"53",28.812
"54",NA
"55",27.42
"56",NA
"57",37.743
"58",73.037
"59",132.965
"60",12.782
"61",37.743
"62",28.291
"63",7.26
"64",NA
"65",26.83
"66",56.047
"67",23.629
"68",91.723
"69",38.552
"70",NA
"71",91.907
"72",74.956
"73",NA
"74",872.133
"75",21.478
"76",20.908
"77",69.384
"78",27.42
"79",420.191
"80",74.074
"81",309.938
"82",NA
"83",20.824
"84",872.133
"85",109.412
"86",28.812
"87",171.291
"88",24.614
"89",NA
"90",145.81
"91",62.136
"92",415.597
"93",36.255
"94",23.629
"95",309.938
"96",591.252
"97",606.864
"98",150.883
"99",177.352
"100",42.103
"101",360.394
"102",42.103
"103",47.484
"104",16.547
"105",NA
"106",70.92
"107",309.938
"108",74.956
"109",20.888
"110",26.83
"111",47.817
"112",34.976
"113",819.388
"114",606.864
"115",74.956
"116",38.581
"117",2457.944
"118",38.04
"119",819.388
"120",38.04
"121",63.432
"122",73.254
"123",84.037
"124",132.965
"125",27.42
"126",845.307
"127",48.036
"128",15.324
"129",31.194
"130",57.299
"131",145.81
"132",84.037
"133",74.956
"134",415.597
"135",242.356
"136",47.484
"137",63.682
"138",NA
"139",74.074
"140",3096.365
"141",35.748
"142",132.965
"143",38.552
"144",89.898
"145",NA
"146",79.518
"147",73.254
"148",71.469
"149",23.039
"150",136.578
"151",15.324
"152",420.191
"153",51.028
"154",NA
"155",91.907
"156",20.824
"157",79.518
"158",39.949
"159",23.629
"160",206.405
"161",356.654
"162",183.402
"163",42.103
"164",74.343
"165",18.223
"166",74.836
"167",18.223
"168",42.103
"169",219.778
"170",12.782
"171",NA
"172",33.118
"173",606.864
"174",NA
"175",3.143
"176",36.255
"177",53.115
"178",73.9
"179",47.484
"180",3096.365
"181",NA
"182",31.194
"183",57.475
"184",15.324
"185",415.577
"186",26.83
"187",38.581
"188",109.412
"189",309.938
"190",48.036
"191",28.291
"192",206.405
"193",91.907
"194",851.279
