"","x"
"1",155.48
"2",57.349
"3",206.98
"4",NA
"5",122.638
"6",221.581
"7",149.556
"8",109.01
"9",122.51
"10",168.81
"11",23.012
"12",145.995
"13",296.147
"14",156.442
"15",139.347
"16",105.941
"17",345.925
"18",1294.13
"19",709.15
"20",1156.62
"21",104.4
"22",496.013
"23",564.67
"24",75.47
"25",33.948
"26",79.96
"27",542.707
"28",261.127
"29",34.747
"30",317.55
"31",24.12
"32",122.51
"33",62.83
"34",31.451
"35",66.06
"36",113.192
"37",367.468
"38",70.114
"39",433.758
"40",1300.95
"41",135.24
"42",122.638
"43",86.85
"44",119.149
"45",303.633
"46",81.413
"47",122.638
"48",31.98
"49",801.01
"50",197.46
"51",145.995
"52",25.683
"53",80.613
"54",149.556
"55",31.98
"56",145.83
"57",104.38
"58",64.249
"59",NA
"60",NA
"61",75.56
"62",17.091
"63",145.799
"64",296.147
"65",47.96
"66",NA
"67",261.127
"68",17.091
"69",182.54
"70",122.51
"71",221.581
"72",16.066
"73",NA
"74",303.633
"75",246.357
"76",44.42
"77",115.311
"78",246.357
"79",44.42
"80",115.311
"81",104.38
"82",1172.13
"83",1001.973
"84",32.42
"85",104.4
"86",743.11
"87",518.648
"88",560.84
"89",122.638
"90",482.21
"91",64.249
"92",26.978
"93",104.4
"94",115.311
"95",38.52
"96",26.978
"97",NA
"98",87.074
"99",136.756
"100",51.704
"101",122.51
"102",1075.72
"103",322.604
"104",709.15
"105",16.066
"106",100.99
"107",149.556
"108",24.12
"109",NA
"110",75.47
"111",197.46
"112",496.013
"113",157.12
"114",104.29
"115",157.12
"116",83.49
"117",38.52
"118",390.946
"119",136.756
"120",132.66
"121",1300.95
"122",261.127
"123",156.442
"124",38.99
"125",173.06
"126",53.061
"127",228.1
"128",24.682
"129",106.447
"130",92.42
"131",21.478
"132",104.38
"133",87.074
"134",303.633
"135",132.66
"136",129.374
"137",86.85
"138",464.08
"139",70.114
"140",632.15
"141",119.149
"142",104.29
"143",30.948
"144",182.54
"145",564.67
"146",145.83
"147",83.26
"148",155.48
"149",177.487
"150",53.33
"151",80.197
"152",1300.95
"153",141.18
"154",NA
"155",177.487
"156",57.349
"157",382.136
"158",182.54
"159",64.249
"160",104.29
"161",94.88
"162",345.925
"163",103.831
"164",75.56
"165",47.96
"166",149.72
"167",135.24
"168",264.42
"169",136.756
"170",177.487
"171",168.81
"172",496.013
"173",94.747
"174",149.72
"175",1091.68
"176",136.756
"177",83.49
"178",77.603
"179",206.63
"180",50.362
"181",155.48
"182",21.478
"183",161.62
"184",156.442
"185",25.683
"186",95.328
"187",92.42
"188",632.15
"189",104.38
"190",100.99
"191",94.747
"192",296.147
"193",1156.62
"194",66.06
"195",NA
"196",100.99
"197",157.12
"198",74.07
"199",709.15
"200",496.013
"201",188.38
"202",51.704
"203",NA
"204",155.48
"205",496.013
"206",108.16
"207",115.23
"208",38.99
"209",149.72
"210",488.48
"211",206.98
"212",104.29
"213",542.707
"214",47.96
"215",81.413
"216",632.15
"217",74.07
"218",106.447
"219",155.48
"220",85.469
"221",115.23
"222",560.84
"223",564.67
"224",264.42
"225",261.127
"226",367.468
"227",66.06
"228",159.89
"229",219.79
"230",1091.68
"231",104.29
"232",246.357
"233",173.06
"234",709.15
"235",129.374
"236",24.7
"237",104.29
"238",198.07
"239",433.758
"240",108.16
"241",1075.72
"242",149.72
"243",197.46
"244",1001.973
"245",64.249
"246",46.955
"247",198.07
"248",70.114
"249",69.72
"250",801.01
"251",122.51
"252",1156.62
"253",83.26
"254",303.633
"255",62.83
"256",105.941
"257",33.948
"258",464.08
"259",80.613
"260",17.091
"261",433.758
"262",145.799
"263",206.98
"264",482.21
"265",197.46
"266",33.948
"267",86.85
"268",104.29
"269",129.374
"270",NA
"271",390.946
"272",31.451
"273",109.01
"274",149.72
"275",61.023
"276",129.374
"277",77.603
"278",564.67
"279",801.01
"280",34.747
"281",464.08
"282",1172.13
"283",129.374
"284",390.946
"285",198.07
"286",206.63
"287",28.264
"288",382.136
"289",80.197
"290",709.15
"291",145.83
"292",66.06
"293",32.42
"294",119.149
"295",145.83
"296",46.955
"297",709.15
"298",632.15
"299",16.066
"300",83.49
"301",50.362
"302",1075.72
"303",106.447
"304",53.061
"305",564.67
"306",80.197
"307",21.478
"308",92.149
"309",31.066
"310",113.192
"311",31.98
"312",44.42
"313",79.96
"314",135.24
"315",145.995
"316",166.23
"317",NA
"318",80.197
"319",433.758
"320",206.63
"321",148.77
"322",488.48
"323",774.69
"324",109.01
"325",128.401
"326",51.704
"327",188.38
"328",103.831
"329",81.413
"330",801.01
"331",75.47
"332",89.42
"333",31.98
"334",296.147
"335",141.18
"336",128.401
"337",1001.973
"338",103.831
"339",136.756
"340",47.96
"341",24.7
"342",156.442
"343",66.06
"344",367.468
"345",61.023
"346",228.1
"347",106.447
"348",206.98
"349",NA
"350",132.66
"351",542.707
"352",24.682
"353",433.758
"354",219.79
"355",87.074
"356",801.01
"357",264.42
"358",62.83
"359",31.98
"360",21.478
"361",80.197
"362",31.451
"363",9.962
"364",1099.643
"365",139.347
"366",103.831
"367",53.33
"368",NA
"369",168.81
"370",464.08
"371",246.357
"372",632.15
"373",317.55
"374",53.33
"375",80.197
"376",9.962
"377",44.42
"378",115.23
"379",317.55
"380",219.79
"381",53.061
"382",709.15
"383",139.347
"384",31.451
"385",1156.62
"386",173.06
"387",173.06
"388",21.478
"389",24.682
"390",41.479
"391",53.33
"392",560.84
"393",77.603
"394",81.87
"395",94.88
"396",46.955
"397",464.08
"398",109.01
"399",303.633
"400",560.84
"401",1294.13
"402",464.08
"403",155.48
"404",443.66
"405",87.074
"406",206.63
"407",801.01
"408",743.11
"409",94.747
"410",228.1
"411",443.66
"412",496.013
"413",177.487
"414",75.56
"415",132.66
"416",159.89
"417",699.37
"418",114.76
"419",443.66
"420",38.52
"421",103.831
"422",801.01
"423",122.638
"424",514.855
"425",94.88
"426",1044.321
"427",26.978
"428",219.79
"429",51.704
"430",801.01
"431",85.469
"432",95.328
"433",367.468
"434",743.11
"435",122.51
"436",560.84
"437",129.374
"438",115.311
"439",38.52
"440",542.707
"441",NA
"442",NA
"443",44.42
"444",41.479
"445",87.074
"446",122.51
"447",38.52
"448",85.469
"449",30.948
"450",17.091
"451",NA
"452",206.63
"453",219.79
"454",104.29
"455",122.638
"456",38.52
"457",119.149
"458",50.362
"459",109.01
"460",157.12
"461",29.214
"462",26.978
"463",206.98
"464",122.51
"465",57.349
"466",1075.72
"467",80.613
"468",149.72
"469",106.447
"470",145.83
"471",57.349
"472",47.96
"473",62.83
"474",198.07
"475",32.42
"476",148.77
"477",9.962
"478",28.264
"479",24.12
"480",104.38
"481",168.81
"482",141.18
"483",66.06
"484",488.48
"485",317.55
"486",774.69
"487",148.77
"488",85.469
"489",173.06
"490",33.948
"491",104.4
"492",83.49
"493",168.81
"494",23.012
"495",69.72
"496",743.11
"497",69.72
"498",518.648
"499",322.604
"500",119.149
"501",1172.13
"502",108.16
"503",296.147
"504",115.23
"505",69.72
"506",1044.321
"507",29.214
"508",69.72
"509",709.15
"510",NA
"511",1099.643
"512",1156.62
"513",149.72
"514",104.29
"515",109.01
"516",33.948
"517",145.83
"518",197.46
"519",1099.643
"520",482.21
"521",443.66
"522",31.066
"523",198.07
"524",135.24
"525",51.704
"526",NA
"527",83.49
"528",83.26
"529",NA
"530",743.11
"531",145.799
"532",382.136
"533",104.29
"534",145.83
"535",232.72
"536",47.96
"537",86.85
"538",NA
"539",24.7
"540",85.469
"541",70.114
"542",32.42
"543",16.066
"544",161.62
"545",1156.62
"546",113.192
"547",246.357
"548",75.47
"549",156.442
"550",188.38
"551",31.98
"552",482.21
"553",1172.13
"554",106.447
"555",157.12
"556",1001.973
"557",261.127
"558",264.42
"559",149.72
"560",44.42
"561",132.66
"562",41.479
"563",34.747
"564",104.29
"565",23.012
"566",25.683
"567",264.42
"568",1156.62
"569",443.66
"570",50.362
"571",53.061
"572",113.192
"573",50.362
"574",264.42
"575",119.149
"576",81.87
"577",122.51
"578",296.147
"579",261.127
"580",560.84
"581",119.149
"582",31.98
"583",95.328
"584",23.012
"585",145.995
"586",24.7
"587",104.4
"588",94.88
"589",496.013
"590",136.756
"591",148.77
"592",382.136
"593",1300.95
"594",132.66
"595",145.83
"596",75.56
"597",94.88
"598",560.84
"599",390.946
"600",390.946
"601",296.147
"602",83.49
"603",149.556
"604",464.08
"605",104.38
"606",518.648
"607",83.26
"608",197.46
"609",542.707
"610",105.941
