who,date,site,transect,meter,family,species,leaf.type,no.damaged,moss,pres.predators,photos,leaf.area,leaf.area1,leaf.area2,leaf.area3
MET,30-Jun-17,P13,RT2,2,Marantaceae,,glabrous,0,no,no,1420-1423,,606.864,510.123,591.252
MET,30-Jun-17,P13,RT2,4,Rubiaceae,Faramea suerrensis,glabrous,0,no,no,1424,,44.332,95.062,76.933
MET,30-Jun-17,P13,RT2,6,Marantaceae,Geoppertia inocephala,glabrous,0,no,ants,1427-1430,,2457.944,3096.365,845.307
MET,30-Jun-17,P13,RT2,8,Araceae,,glabrous,0,no,no,1431-1433,,69.384,76.331,109.412
MET,30-Jun-17,P13,RT2,10,Arecaceae,Prestobea decurrens,glabrous,0,no,no,1434-1435,,57.475,57.837,59.448
MET,30-Jun-17,P13,RT2,12,Araceae,,glabrous,0,no,no,1436-1438,,69.69,73.862,74.956
MET,30-Jun-17,P13,RT2,14,Arecaceae,Prestobea decurrens,glabrous,0,no,ants,1439-1441,,83.086,73.254,63.432
MET,30-Jun-17,P13,RT2,16,Rubiaceae,Psychotia ilata,glabrous,0,no,no,1442-1445,,84.037,56.459,97.969
MET,30-Jun-17,P13,RT2,18,Arecaceae,Astrogenia marteana,glabrous,0,no,no,1446-1449,,872.133,819.388,851.279
MET,30-Jun-17,P13,RT2,20,Melastomataceae,Henriettea tuberculosa,glandular,0,no,no,1450-1452,,21.478,20.888,44.567
MET,30-Jun-17,P13,RT2,22,Malvaceae,Herrania purpurea,glabrous,0,no,no,1453-1457,,74.836,145.81,183.402
MET,30-Jun-17,P13,RT2,24,Araceae,,glabrous,0,no,no,1458-1460,,68.797,70.92,88.11
MET,30-Jun-17,P13,RT2,26,Araceae,Spathaphyllum sp. ,glabrous,0,no,no,1461-1463,,309.938,305.864,420.191
MET,30-Jun-17,P13,RT2,28,Acanthaceae,,glabrous,0,no,no,1464-1468,,16.547,18.223,24.614
MET,30-Jun-17,P13,RT2,30,Melastomataceae,Henriettea tuberculosa,glandular,0,no,no,1469-1471,,27.47,23.039,23.629
MET,30-Jun-17,P13,RT2,32,Bignoniaceae,Tanaecium pyramidatum,glabrous,0,no,no,1473-1477,,44.577,48.036,37.428
MET,30-Jun-17,P13,RT2,34,Araceae,Philodendron grandipes,glabrous,0,no,no,1478-1481,,415.577,415.597,328.072
MET,30-Jun-17,P13,RT2,36,Tectariaceae,Tectaria sp.,glabrous,0,no,no,1483-1485,,92.231,119.447,71.469
MET,30-Jun-17,P13,RT2,38,Bignoniaceae,Tanaecium pyramidatum,glabrous,0,no,no,1486-1491,,38.04,35.897,28.812
MET,30-Jun-17,P13,RT2,40,Costaceae,,glabrous,0,no,no,1493-1494,,119.41,171.291,56.788
MET,30-Jun-17,P13,RT2,42,Piperaceae,Piper decurrens,glabrous,0,no,no,1495-1496,,22.575,36.255,27.42
MET,30-Jun-17,P13,RT2,44,Rubiaceae,Chione venosa,glabrous,0,no,no,1497-1501,,92.293,74.074,106.462
