who,date,site,transect,meter,family,species,leaf.type,no.damaged,moss,pres.predators,photos,leaf.area,leaf.area1,leaf.area2,leaf.area3
MET,5-Jul-17,POT8,RT1,2,Euphorbiaceae,Acalypha diversifolia,glabrous,0,no,no,1512-1514,,102.732,124.822,113.528
MET,5-Jul-17,POT9,RT1,4,Euphorbiaceae,Acalypha diversifolia,glabrous,0,no,no,1515-1517,,82.747,54.407,46.878
MET,5-Jul-17,POT10,RT1,6,Euphorbiaceae,Acalypha diversifolia,glabrous,1,no,no,1518-1520,,113.802,61.63,90.479
MET,5-Jul-17,POT11,RT1,8,Fabaceae,Pentaclethra macroloba,glabrous,0,no,no,1521-1523,,9.89,6.847,8.665
MET,5-Jul-17,POT12,RT1,10,Lomariopsis,Cyclopeltis semicordata,glabrous,0,no,no,1524-1525,,1.298,1.38,1.022
MET,5-Jul-17,POT13,RT1,12,Araceae,Alocasia macrorrhizos,glabrous,0,no,no,1526-1529,,661.912,743.844,525.862
MET,5-Jul-17,POT14,RT1,14,Araceae,Alocasia macrorrhizos,glabrous,0,no,no,1530-1532,,620.243,1267.286,689.722
MET,5-Jul-17,POT15,RT1,16,Araceae,Alocasia macrorrhizos,glabrous,0,no,no,1533-1535,,812.112,634.729,1013.568
MET,5-Jul-17,POT16,RT1,18,Poaceae,,glabrous,0,no,no,1536-1537,,57.37,44.987,59.275
MET,5-Jul-17,POT17,RT1,20,Fabaceae,Pentaclethra macroloba,glabrous,0,no,no,"tree too tall, same species as photos 1521-1523 - should be extra leaves in photos to use",,10.986,8.548,10.871
MET,5-Jul-17,POT18,RT1,22,Melastomataceae,Conostegia micrantha,hairy,0,no,no,1538-1540,,106.504,82.214,115
MET,5-Jul-17,POT19,RT1,24,Thelypteridaceae,,glabrous,0,no,no,1541-1542,,6.445,6.402,5.449
MET,5-Jul-17,POT20,RT1,26,Araceae,,glabrous,0,no,no,1543-1546,,116.878,143.308,30.518
MET,5-Jul-17,POT21,RT1,28,Lomariopsis,,glabrous,0,no,no,1547-1548,,7.783,7.239,5.26
MET,5-Jul-17,POT22,RT1,30,Tectariaceae,Tectaria sp.,spores,0,no,no,1549,,111.736,92.614,76.948
MET,5-Jul-17,POT23,RT1,32,Araceae,,glabrous,0,no,no,1550-1554,,197.936,182.915,245.744
